date,bitcoin
2021-06-27,1768
2021-06-28,1836
2021-06-29,1775
2021-06-30,1643
2021-07-01,1529
2021-07-02,2016
2021-07-03,1850
2021-07-04,1955
2021-07-05,1967
2021-07-06,1846
2021-07-07,1724
2021-07-08,1904
2021-07-09,2119
2021-07-10,1835
2021-07-11,1760
2021-07-12,1985
2021-07-13,2021
2021-07-14,2084
2021-07-15,2057
2021-07-16,1576
2021-07-17,1375
2021-07-18,1352
2021-07-19,1580
2021-07-20,2077
2021-07-21,1909
2021-07-22,1710
2021-07-23,1016
2021-07-24,967
2021-07-25,989
2021-07-26,1784
2021-07-27,1324
2021-07-28,1253
2021-07-29,1101
2021-07-30,1816
2021-07-31,1866
2021-08-01,1805
2021-08-02,845
2021-08-03,0
2021-08-04,0
2021-08-05,0
2021-08-06,0
