date,bitcoin
2018-07-07,1424
2018-07-08,1561
2018-07-09,1621
2018-07-10,1715
2018-07-11,1648
2018-07-12,1753
2018-07-13,1072
2018-07-14,889
2018-07-15,849
2018-07-16,1040
2018-07-17,1330
2018-07-18,1520
2018-07-19,1268
2018-07-20,1576
2018-07-21,1293
2018-07-22,1273
2018-07-23,1547
2018-07-24,1992
2018-07-25,1867
2018-07-26,1680
2018-07-27,2112
2018-07-28,1638
2018-07-29,1590
2018-07-30,1801
2018-07-31,1861
2018-08-01,1828
2018-08-02,1701
2018-08-03,1711
2018-08-04,1517
2018-08-05,1464
2018-08-06,1588
2018-08-07,1642
2018-08-08,2022
2018-08-09,1737
2018-08-10,1602
2018-08-11,1519
2018-08-12,1323
2018-08-13,1491
2018-08-14,1876
2018-08-15,1668
2018-08-16,1450
2018-08-17,1805
2018-08-18,1574
2018-08-19,1494
2018-08-20,1692
2018-08-21,1779
2018-08-22,1952
2018-08-23,1768
2018-08-24,1456
2018-08-25,1283
2018-08-26,1222
2018-08-27,1400
2018-08-28,1641
2018-08-29,1510
2018-08-30,1481
2018-08-31,1266
2018-09-01,1144
2018-09-02,1185
2018-09-03,1224
2018-09-04,1306
2018-09-05,1557
2018-09-06,1820
2018-09-07,2084
2018-09-08,1720
2018-09-09,1671
2018-09-10,1841
2018-09-11,1866
2018-09-12,2027
2018-09-13,1974
2018-09-14,2136
2018-09-15,1770
2018-09-16,1714
2018-09-17,1957
2018-09-18,1922
2018-09-19,1951
2018-09-20,1966
2018-09-21,2165
2018-09-22,1803
2018-09-23,1685
2018-09-24,1808
2018-09-25,1881
2018-09-26,1834
2018-09-27,1849
2018-09-28,2296
2018-09-29,1890
2018-09-30,1905
2018-10-01,2036
2018-10-02,2039
2018-10-03,2065
2018-10-04,2054
2018-10-05,1561
2018-10-06,1328
2018-10-07,1229
2018-10-08,1459
2018-10-09,1509
2018-10-10,1572
2018-10-11,2049
2018-10-12,1670
2018-10-13,1327
2018-10-14,1296
2018-10-15,1733
2018-10-16,1550
2018-10-17,1450
2018-10-18,1462
2018-10-19,2041
2018-10-20,1778
2018-10-21,1785
2018-10-22,1990
