,index,google buzzword score
0,0,9.736043532801428
1,1,6.71510803946765
2,2,7.921180571663384
3,3,7.465450874383317
4,4,8.16745874140564
5,5,7.974118869832279
6,6,4.870323431538491
7,7,5.4722088650674685
8,8,6.342238287147596
9,9,7.53450082851666
10,10,8.325122803343442
11,11,6.181121727503127
12,12,7.092581122063262
13,13,5.536655488925255
14,14,7.314691807858851
15,15,8.307860314810107
16,16,3.9277915576183537
17,17,6.002742679325324
18,18,9.08467229881022
19,19,4.94627838108517
20,20,6.19032838805424
21,21,6.728918030294321
22,22,5.346768115058562
23,23,7.674902401921123
24,24,9.06050481486355
25,25,4.604481108125119
26,26,7.930387232214496
27,27,7.887806427165599
28,28,4.98195419072073
29,29,5.311092305423003
30,30,5.601102112783043
31,31,6.608080610560969
32,32,9.313687980019143
33,33,6.831342128925446
34,34,5.353673110471895
35,35,8.824584138241292
36,36,8.200832885903424
37,37,9.124951438721338
38,38,7.109843610596598
39,39,3.844931612658341
40,40,7.292825989049958
41,41,7.845225622116707
42,42,6.285847491272034
43,43,4.954334209067394
44,44,6.953330381227686
45,45,5.467605534791913
46,46,7.169686904178829
47,47,5.624118764160825
48,48,10.42769390670375
49,49,6.938369557832129
50,50,7.978722200107836
51,51,5.518242167823031
52,52,7.763516509725582
53,53,3.734451686044992
54,54,9.893707594739231
55,55,7.017777005085474
56,56,7.2801668307921785
57,57,7.943046390472275
58,58,8.210039546454537
59,59,4.9669933673251725
60,60,4.41919706453398
61,61,5.29958397973411
62,62,9.168683076339121
63,63,8.557590982259034
64,64,6.091356787129783
65,65,6.502204014223175
66,66,6.265132505032028
67,67,6.932615394987683
68,68,10.087047466312589
69,69,7.160480243627716
70,70,6.4066849110053825
71,71,9.333252133690259
72,72,6.2133450394320215
73,73,5.833570291698633
74,74,10.03871249841925
75,75,8.457468548765686
76,76,10.067483312641475
77,77,5.547012982045257
78,78,4.23736551864951
79,79,6.039569321529775
80,80,7.8130023101878106
81,81,6.351444947698709
82,82,9.211263881388016
83,83,7.610455778063337
84,84,8.114520443236746
85,85,6.079848461440892
86,86,14.979236716659972
87,87,9.12034810844578
88,88,7.04424615416992
89,89,9.07316397312133
90,90,7.913124743681159
91,91,7.297429319325515
92,92,5.160333238898533
93,93,6.2501716816364725
94,94,7.396400920249973
95,95,6.6713764018498685
96,96,8.424094404267903
97,97,9.793585161245879
98,98,5.1430707503652
99,99,7.4988250188810985
100,100,9.405754585530266
101,101,9.60024528967252
102,102,7.597796619805559
103,103,9.824657640605885
104,104,6.161557573832014
105,105,6.7945154867209965
106,106,8.842997459343518
107,107,8.358496947841227
108,108,8.28944699370788
109,109,7.422870069334421
110,110,6.07064180088978
111,111,6.093658452267559
112,112,8.630093434099042
113,113,9.772870175005878
114,114,8.587512629050146
115,115,7.63347242944112
116,116,9.708423551148092
117,117,10.333325636054848
118,118,8.59787012217015
119,119,9.631317769032524
120,120,10.174510741548156
121,121,8.419491073992345
122,122,8.740573360712393
123,123,6.796817151858774
124,124,7.000514516552137
125,125,6.136239257316455
126,126,7.616209940907782
127,127,8.414887743716788
128,128,7.897013087716713
129,129,7.3584234454766335
130,130,8.138687927183415
131,131,7.613908275770004
132,132,10.633692936534892
133,133,6.011949339876437
134,134,6.198384216036466
135,135,10.49904552597487
136,136,8.311312812516775
137,137,8.042017991396733
138,138,9.173286406614679
139,139,6.031513493547551
140,140,9.455240385992496
141,141,5.838173621974188
142,142,8.4344518973879
143,143,5.790989486649738
144,144,9.539251163521396
145,145,13.907811595024258
146,146,7.0891286243565945
147,147,7.879750599183376
148,148,7.877448934045599
149,149,7.783080663396697
150,150,5.602252945351933
151,151,6.799118816996553
152,152,5.6770570623297205
153,153,8.236508695538985
154,154,6.235210858240914
155,155,8.680730067130161
156,156,8.91549991118353
157,157,8.813075812552404
158,158,8.14559292259675
159,159,7.496523353743321
160,160,6.924559567005459
161,161,8.16860957397453
162,162,6.1040159453875615
163,163,7.09488278720104
164,164,10.020299177317023
165,165,7.295127654187737
166,166,9.970813376854794
167,167,6.87622459911212
168,168,7.758913179450026
169,169,6.610382275698747
170,170,7.016626172516585
171,171,8.187022895076757
172,172,8.187022895076755
173,173,6.809476310116555
174,174,7.152424415645495
175,175,8.571400973085701
176,176,8.42524523683679
177,177,8.205436216178981
178,178,6.770348002774325
179,179,8.520764340054583
180,180,6.675979732125423
181,181,8.359647780410112
182,182,8.185872062507867
183,183,4.642458582898458
184,184,7.72784070009002
185,185,7.068413638116592
186,186,7.669148239076679
187,187,6.877375431681008
188,188,8.458619381334572
189,189,4.476738692978433
190,190,5.0371941540274054
191,191,6.444662385778724
192,192,7.910823078543383
193,193,5.543560484338591
194,194,8.16745874140564
195,195,7.532199163378882
196,196,4.960088371911838
197,197,7.188100225281054
198,198,9.043242326330214
199,199,6.878526264249897
200,200,5.950955213725316
201,201,7.513785842276657
202,202,7.02353116792992
203,203,10.603771289743777
204,204,5.233986523307434
205,205,4.830044291627375
206,206,5.817458635734186
207,207,9.150269755236899
208,208,4.477889525547324
209,209,6.750783849103212
210,210,6.068340135752001
211,211,4.138393917725051
212,212,7.514936674845546
213,213,3.9369982181694665
214,214,5.17644489486298
215,215,7.211116876658834
216,216,3.298286142436039
217,217,6.33878578944093
218,218,8.380362766650116
219,219,4.708056039325135
220,220,4.601028610418451
221,221,3.246498676836031
222,222,5.094735782471857
223,223,7.550612484481108
224,224,8.882125766685746
225,225,5.4583988742408
226,226,8.883276599254636
227,227,7.043095321601033
228,228,6.397478250454271
229,229,6.611533108267636
230,230,8.104162950116741
231,231,5.024534995769626
232,232,7.780778998258919
233,233,6.469980702294282
234,234,6.28814915640981
235,235,3.603256773191639
236,236,6.342238287147596
237,237,7.410210911076642
238,238,7.587439126685557
239,239,5.071719131094077
240,240,9.235431365334687
241,241,8.306709482241219
242,242,7.796890654223366
243,243,6.709353876623205
244,244,8.749780021263504
245,245,3.910529069085017
246,246,8.292899491414547
247,247,8.725612537316835
248,248,8.855656617601298
249,249,7.608154112925559
250,250,7.64498075513001
251,251,8.742875025850172
252,252,9.25729718414358
253,253,5.427326394880795
254,254,5.518242167823031
255,255,6.8198338032365555
256,256,12.112512787557328
257,257,3.779334156231665
258,258,10.41503474844597
259,259,11.21946671409942
260,260,5.666699569209721
261,261,8.051224651947846
262,262,8.124877936356746
263,263,8.917801576321306
264,264,5.3628797710230085
265,265,7.9959846886411725
266,266,5.673604564623053
267,267,3.8161607984361154
268,268,6.303109979805369
269,269,6.525220665600957
270,270,7.125955266561045
271,271,7.226077700054392
272,272,3.932394887893909
273,273,6.235210858240914
274,274,4.354750440676193
275,275,6.888883757369899
276,276,5.591895452231932
277,277,7.6000982849433365
278,278,10.982395204908274
279,279,8.31706697536122
280,280,8.130632099201193
281,281,5.856586943076414
282,282,4.779407658596256
283,283,4.581464456747339
284,284,6.525220665600957
285,285,7.672600736783346
286,286,8.704897551076833
287,287,7.960308879005611
288,288,4.3720129292095296
289,289,3.561826800711633
290,290,6.484941525689841
291,291,8.349290287290113
292,292,4.853060943005155
293,293,6.191479220623131
294,294,5.976273530240876
295,295,6.6483597504720855
296,296,7.86478977578782
297,297,7.567874973014444
298,298,5.838173621974189
299,299,8.725612537316836
300,300,6.046474316943108
301,301,7.8440747895478165
302,302,4.522771995733995
303,303,6.6817338949698675
304,304,4.922110897138499
305,305,6.06949096832089
306,306,5.271963998080773
307,307,3.0658179635204488
308,308,8.033962163414511
309,309,5.330656459094116
310,310,12.304701826561804
311,311,8.164006243698976
312,312,10.626787941121558
313,313,4.716111867307356
314,314,6.261680007325362
315,315,4.331733789298413
316,316,7.207664378952167
317,317,5.2362881884452115
318,318,6.732370528000988
319,319,9.53579866581473
320,320,8.178967067094533
321,321,7.747404853761135
322,322,7.5805341312722225
323,323,5.212120704498542
324,324,5.183349890276316
325,325,3.5088885025427365
