,datetime,open,high,low,close,volume,returns,class
2017-08-18 10:00:00,1503014400.0,4285.08,4371.52,3938.77,4108.37,1199.888264,-0.04123843662195337,0
2017-08-19 10:00:00,1503100800.0,4108.37,4184.69,3850.0,4139.98,381.309763,0.007694048978061696,0
2017-08-20 10:00:00,1503187200.0,4120.98,4211.08,4032.62,4086.29,467.083022,-0.012968661684355842,0
2017-08-21 10:00:00,1503273600.0,4069.13,4119.62,3911.79,4016.0,691.74306,-0.017201422317065118,0
2017-08-22 10:00:00,1503360000.0,4016.0,4104.82,3400.0,4040.0,966.684858,0.005976095617529875,0
2017-08-23 10:00:00,1503446400.0,4040.0,4265.8,4013.89,4114.01,1001.136565,0.018319306930693058,0
2017-08-24 10:00:00,1503532800.0,4147.0,4371.68,4085.01,4316.01,787.418753,0.049100512638520666,0
2017-08-25 10:00:00,1503619200.0,4316.01,4453.91,4247.48,4280.68,573.61274,-0.008185801237717172,0
2017-08-26 10:00:00,1503705600.0,4280.71,4367.0,4212.41,4337.44,228.108068,0.013259575581449523,0
2017-08-27 10:00:00,1503792000.0,4332.51,4400.0,4285.54,4310.01,350.692585,-0.006324006787413627,0
2017-08-28 10:00:00,1503878400.0,4310.01,4399.82,4124.54,4386.69,603.841616,0.017791142015911587,0
2017-08-29 10:00:00,1503964800.0,4353.65,4625.85,4313.55,4587.48,603.545028,0.04577255288155757,0
2017-08-30 10:00:00,1504051200.0,4564.52,4647.51,4416.01,4555.14,808.468771,-0.007049622014700718,0
2017-08-31 10:00:00,1504137600.0,4555.14,4745.42,4555.14,4724.89,556.956802,0.03726559447130051,0
2017-09-01 10:00:00,1504224000.0,4689.89,4885.55,4654.88,4834.91,560.666366,0.023285198173925714,0
2017-09-02 10:00:00,1504310400.0,4796.16,4939.19,4286.87,4472.14,929.148595,-0.0750313863132922,0
2017-09-03 10:00:00,1504396800.0,4508.5,4714.76,4298.33,4509.08,691.216198,0.008260027637775114,0
2017-09-04 10:00:00,1504483200.0,4505.0,4527.49,3972.51,4100.11,1394.644614,-0.09069921136905978,0
2017-09-05 10:00:00,1504569600.0,4106.97,4484.99,3603.0,4366.47,1228.938157,0.0649641107189809,0
2017-09-06 10:00:00,1504656000.0,4366.49,4662.87,4335.26,4619.77,807.363726,0.058010246262999665,0
2017-09-07 10:00:00,1504742400.0,4619.77,4788.59,4438.19,4691.61,500.429975,0.015550557711747404,0
2017-09-08 10:00:00,1504828800.0,4691.66,4735.39,4028.93,4282.8,1132.255046,-0.08713639880552726,0
2017-09-09 10:00:00,1504915200.0,4282.8,4426.62,4150.06,4258.81,658.782952,-0.005601475670122258,0
2017-09-10 10:00:00,1505001600.0,4258.81,4283.0,3801.0,4130.37,660.373275,-0.03015865934380746,0
2017-09-11 10:00:00,1505088000.0,4153.62,4334.43,4098.91,4208.47,699.989065,0.018908717620939708,0
2017-09-12 10:00:00,1505174400.0,4208.6,4394.59,4040.8,4163.72,879.630319,-0.01063331804670109,0
2017-09-13 10:00:00,1505260800.0,4159.72,4165.38,3760.0,3944.69,913.462545,-0.05260440183297632,0
2017-09-14 10:00:00,1505347200.0,3944.0,3993.0,3165.13,3189.02,1665.021543,-0.1915663841772104,-1
2017-09-15 10:00:00,1505433600.0,3188.01,3856.0,2817.0,3700.0,1968.866492,0.16023104276548916,1
2017-09-16 10:00:00,1505520000.0,3674.01,3950.0,3470.66,3714.95,1297.563953,0.004040540540540594,0
2017-09-17 10:00:00,1505606400.0,3685.23,3748.21,3499.02,3699.99,682.17121,-0.00402697209922076,0
2017-09-18 10:00:00,1505692800.0,3690.0,4123.2,3690.0,4035.01,1030.006455,0.09054619066538039,0
2017-09-19 10:00:00,1505779200.0,4060.0,4089.97,3830.91,3910.04,902.332129,-0.030971422623487954,0
2017-09-20 10:00:00,1505865600.0,3910.04,4046.08,3820.0,3900.0,720.935076,-0.002567748667532843,0
2017-09-21 10:00:00,1505952000.0,3889.99,3910.0,3567.0,3609.99,1001.654084,-0.07436153846153848,0
2017-09-22 10:00:00,1506038400.0,3592.84,3750.0,3505.55,3595.87,838.966425,-0.003911368175535057,0
2017-09-23 10:00:00,1506124800.0,3595.88,3817.19,3542.91,3780.0,752.792791,0.051205966845297546,0
2017-09-24 10:00:00,1506211200.0,3779.54,3789.99,3622.76,3660.02,661.63639,-0.031740740740740736,0
2017-09-25 10:00:00,1506297600.0,3660.02,3979.87,3653.69,3920.75,727.994713,0.07123731564308389,0
2017-09-26 10:00:00,1506384000.0,3928.0,3976.99,3850.05,3882.35,526.727987,-0.009794044506790778,0
2017-09-27 10:00:00,1506470400.0,3882.36,4249.94,3872.81,4193.0,628.170966,0.08001596970906788,0
2017-09-28 10:00:00,1506556800.0,4192.11,4300.0,4101.0,4174.5,849.785325,-0.004412115430479369,0
2017-09-29 10:00:00,1506643200.0,4178.98,4263.86,3952.01,4174.69,1602.309565,4.5514432866156085e-05,0
2017-09-30 10:00:00,1506729600.0,4175.0,4380.0,4138.1,4378.51,720.353183,0.04882278684165775,0
